price_bucket,body_type,fuel_type_group,sales,model_top3,top1_model,top3_sales,top3_concentration_pct,top3_stable,stable_top3_concentration_pct,stable_model_count,mapped_model_sales_pct
55-60万,SUV,其他能源,17009.0,大众途锐（47.3%）、奥迪Q7（35.6%）、林肯飞行家（13.7%）,大众途锐,16445.0,96.68410841319302,大众途锐（47.3%）、捷尼赛思GV80（1.4%）,48.762419895349524,2,100.0
55-60万,SUV,新能源,3582.0,宝马iX（62.2%）、红旗E-HS9（26.6%）、JEEP牧马人（10.0%）,宝马iX,3542.0,98.88330541596874,无满足9个月暴露期车型,0.0,0,100.0
55-60万,跑车,其他能源,2556.0,保时捷718（91.8%）、捷豹F-TYPE（4.2%）、丰田SUPRA（4.0%）,保时捷718,2556.0,100.0,无满足9个月暴露期车型,0.0,0,100.0
55-60万,轿车,其他能源,7826.0,奔驰CLS级（30.9%）、奥迪A7（30.0%）、宝马M2（18.0%）,奔驰CLS级,6181.0,78.98032200357783,奔驰CLS级（30.9%）、宝马M2（18.0%）、奥迪S5（3.1%）,52.05724508050089,3,100.0
55-60万,轿车,新能源,283.0,高合HiPhi Z（96.5%）、宝马i5（3.5%）,高合HiPhi Z,283.0,100.0,无满足9个月暴露期车型,0.0,0,100.0
5万以下,MPV,其他能源,9242.0,长安凯程欧诺（63.6%）、东风风光风光（36.4%）、欧尚汽车欧尚（0.0%）,长安凯程欧诺,9242.0,100.0,东风风光风光（36.4%）,36.4098679939407,1,100.0
5万以下,SUV,新能源,14286.0,东风纳米EX1（100.0%）,东风纳米EX1,14286.0,100.0,东风纳米EX1（100.0%）,100.0,1,100.0
5万以下,轿车,其他能源,326.0,昌河昌河北斗星（59.8%）、昌河北斗星 X5（38.0%）、长安悦翔（2.1%）,昌河昌河北斗星,326.0,100.0,无满足9个月暴露期车型,0.0,0,100.0
5万以下,轿车,新能源,529977.0,五菱宏光MINI EV（39.4%）、长安Lumin（25.5%）、吉利熊猫mini（18.6%）,五菱宏光MINI EV,442494.0,83.4930572458805,五菱宏光MINI EV（39.4%）、长安Lumin（25.5%）、吉利熊猫mini（18.6%）,83.4930572458805,3,100.0
60万以上,MPV,其他能源,20700.0,丰田埃尔法（86.5%）、雷克萨斯LM（13.5%）,丰田埃尔法,20700.0,100.0,丰田埃尔法（86.5%）、雷克萨斯LM（13.5%）,100.0,2,100.0
60万以上,MPV,新能源,247.0,沃尔沃EM90（100.0%）,沃尔沃EM90,247.0,100.0,无满足9个月暴露期车型,0.0,0,100.0
60万以上,SUV,其他能源,281912.0,宝马X5（33.4%）、奔驰GLE级（15.3%）、保时捷卡宴（7.9%）,宝马X5,159522.0,56.585743068759044,宝马X5（33.4%）、奔驰GLE级（15.3%）、保时捷卡宴（7.9%）,56.585743068759044,3,100.0
60万以上,SUV,新能源,26026.0,仰望U8（21.2%）、特斯拉MODEL X（21.1%）、保时捷卡宴（15.2%）,仰望U8,14954.0,57.45792668869591,特斯拉MODEL X（21.1%）、保时捷卡宴（15.2%）、路特斯ELETRE（11.3%）,47.57934373318989,3,100.0
60万以上,跑车,其他能源,7165.0,保时捷911（55.0%）、奔驰AMG GT（17.4%）、路特斯EMIRA（9.7%）,保时捷911,5883.0,82.10746685275645,保时捷911（55.0%）、奔驰AMG GT（17.4%）、路特斯EMIRA（9.7%）,82.10746685275645,3,100.0
60万以上,跑车,新能源,20.0,昊铂昊铂SSR（100.0%）,昊铂昊铂SSR,20.0,100.0,无满足9个月暴露期车型,0.0,0,100.0
60万以上,轿车,其他能源,87609.0,奔驰S级（25.4%）、保时捷PANAMERA（20.5%）、宝马7系（15.9%）,奔驰S级,54120.0,61.77447522514811,奔驰S级（25.4%）、保时捷PANAMERA（20.5%）、宝马7系（15.9%）,61.77447522514811,3,100.0
60万以上,轿车,新能源,11235.0,保时捷Taycan（28.5%）、宝马i7（13.2%）、特斯拉MODEL S（13.2%）,保时捷Taycan,6173.0,54.944370271473076,保时捷Taycan（28.5%）、宝马i7（13.2%）、特斯拉MODEL S（13.2%）,54.944370271473076,3,100.0
其他,MPV,其他能源,10675.0,无可映射车型,无可映射车型,0.0,0.0,无满足9个月暴露期车型,0.0,0,0.0
其他,MPV,新能源,38073.0,无可映射车型,无可映射车型,0.0,0.0,无满足9个月暴露期车型,0.0,0,0.0
其他,SUV,其他能源,59783.0,无可映射车型,无可映射车型,0.0,0.0,无满足9个月暴露期车型,0.0,0,0.0
其他,SUV,新能源,24313.0,无可映射车型,无可映射车型,0.0,0.0,无满足9个月暴露期车型,0.0,0,0.0
其他,跑车,其他能源,1657.0,无可映射车型,无可映射车型,0.0,0.0,无满足9个月暴露期车型,0.0,0,0.0
其他,跑车,新能源,832.0,无可映射车型,无可映射车型,0.0,0.0,无满足9个月暴露期车型,0.0,0,0.0
其他,轿车,其他能源,45347.0,无可映射车型,无可映射车型,0.0,0.0,无满足9个月暴露期车型,0.0,0,0.0
其他,轿车,新能源,181138.0,无可映射车型,无可映射车型,0.0,0.0,无满足9个月暴露期车型,0.0,0,0.0
